CÓDIGO,DESCRIÇÃO DE SERVIÇO,UNIDADE,CUSTO UNITÁRIO,REGIÃO,ANO
ED-8143,RASTELAMENTO DE ÁREA COM AFASTAMENTO DE ATÉ 20 M,m2,1.44,Região Norte,Planilha
8703,DESMATAMENTO E DESTOCAMENTO,,,Região Norte,Planilha
ED-50702,"DESMATAMENTO, DESTOCAMENTO E LIMPEZA INCLUSIVE TRANSPORTE ATÉ 50 M",m2,0.52,Região Norte,Planilha
8704,SUPRESSÃO DE ÁRVORE,,,Região Norte,Planilha
ED-50700,"CORTE DE ÁRVORE NATIVA COM MOTO-SERRA Ø >= 0,30M - ACIMA DE 1.000 UNIDADES",U,27.94,Região Norte,Planilha
ED-50699,"CORTE DE ÁRVORE NATIVA COM MOTO-SERRA Ø >= 0,30M - ATÉ 1.000 UNIDADES",U,33.31,Região Norte,Planilha
ED-50698,"CORTE DE ÁRVORE NATIVA COM MOTO-SERRA 0,15M =< Ø < 0,30M - ACIMA DE 1.000 UNIDADES",U,20.61,Região Norte,Planilha
ED-50697,"CORTE DE ÁRVORE NATIVA COM MOTO-SERRA 0,15M =< Ø < 0,30M - ATÉ 1.000 UNIDADES",U,25.63,Região Norte,Planilha
8705,SONDAGEM,,,Região Norte,Planilha
ED-51006,"MOBILIZAÇÃO E DESMOBILIZAÇÃO POR EQUIPAMENTO DE SONDAGEM A PERCUSSÃO D = 2 1/2""",vb,731.85,Região Norte,Planilha
ED-51008,"MOBILIZAÇÃO E DESMOBILIZAÇÃO POR EQUIPAMENTO DE SONDAGEM A PERCUSSÃO D = 4""",vb,1103.13,Região Norte,Planilha
ED-51007,"SONDAGEM A PERCUSSÃO D = 2 1/2"" COM MEDIDA DE SPT (FATURAMENTO MÍNIMO = 30 M)",m,78.67,Região Norte,Planilha
ED-51009,"SONDAGEM A PERCUSSÃO D = 4"" COM MEDIDA DE SPT (FATURAMENTO MÍNIMO = 30 M)",m,130.31,Região Norte,Planilha
8706,DEMOLIÇÃO DE TELHADO,,,Região Norte,Planilha
ED-48456,DEMOLIÇÃO DE ENGRADAMENTO DE TELHA CERÂMICA COLONIAL OU FRANCESA INCLUSIVE EMPILHAMENTO,m2,20.86,Região Norte,Planilha
ED-48457,DEMOLIÇÃO DE ENGRADAMENTO DE TELHA CERÂMICA PARA REAPROVEITAMENTO,m2,25.18,Região Norte,Planilha
ED-48454,"DEMOLIÇÃO DE ENGRADAMENTO DE TELHA METÁLICA, PVC OU FIBROCIMENTO, INCLUSIVE EMPILHAMENTO",m2,18.15,Região Norte,Planilha
ED-48455,"DEMOLIÇÃO DE ENGRADAMENTO DE TELHA TIPO CALHA DE FIBROCIMENTO, INCLUSIVE EMPILHAMENTO",m2,18.15,Região Norte,Planilha
ED-48438,"REMOÇÃO DE CALHA EM CHAPA GALVANIZADA OU EM PVC, COM REAPROVEITAMENTO, INCLUSIVE AFASTAMENTO",m,4.21,Região Norte,Planilha
ED-48446,"REMOÇÃO DE CONDUTOR DE CHAPA GALVANIZADA OU PVC, INCLUSIVE AFASTAMENTO",m,5.12,Região Norte,Planilha
ED-48506,"REMOÇÃO DE RUFO DE CHAPA GALVANIZADA, INCLUSIVE AFASTAMENTO",m,5.74,Região Norte,Planilha
ED-48513,"REMOÇÃO DE TELHA CERÂMICA COLONIAL OU FRANCESA, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",m2,12.31,Região Norte,Planilha
ED-48514,"REMOÇÃO DE TELHA CERÂMICA COLONIAL OU FRANCESA PARA REAPROVEITAMENTO, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",m2,20.53,Região Norte,Planilha
ED-48509,"REMOÇÃO DE TELHA METÁLICA OU PVC, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",m2,6.69,Região Norte,Planilha
ED-48511,"REMOÇÃO DE TELHA ONDULADA DE FIBROCIMENTO, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",m2,11.29,Região Norte,Planilha
ED-48512,REMOÇÃO DE TELHA ONDULADA FIBROCIMENTO PARA REAPROVEITAMENTO,m2,13.34,Região Norte,Planilha
ED-48510,"REMOÇÃO DE TELHA TIPO CALHA DE FIBROCIMENTO, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",m2,12.31,Região Norte,Planilha
8707,REMOÇÃO DE INSTALAÇÃO,,,Região Norte,Planilha
ED-48499,DESMONTAGEM E RETIRADA DE REDES DE DUTOS DE AR CONDICIONADO,m,8.2,Região Norte,Planilha
ED-48466,REMOÇÃO DE INTERFONE,U,43.44,Região Norte,Planilha
ED-48468,REMOÇÃO DE LUMINÁRIA FLUORESCENTE,U,17.36,Região Norte,Planilha
ED-48469,REMOÇÃO DE LUMINÁRIA INCANDESCENTE,U,10.85,Região Norte,Planilha
ED-48515,"RETIRADA DE TUBULAÇÕES EMBUTIDAS DAS REDE DE ÁGUA, ELÉTRICA, GASES, ETC.",m,15.09,Região Norte,Planilha
ED-48500,"RETIRADA DE TUBULAÇÕES EMBUTIDAS DE REDE DE ÁGUA, ELÉTRICA, GASES ETC., INCLUSIVE CORTES E DESVIOS",m,15.09,Região Norte,Planilha
8708,DEMOLIÇÃO DE FORRO,,,Região Norte,Planilha
ED-48463,DEMOLIÇÃO DE FORRO DE GESSO INCLUSIVE AFASTAMENTO E EMPILHAMENTO,m2,17.44,Região Norte,Planilha
ED-48462,DEMOLIÇÃO DE FORRO DE PERFIS EXCLUSIVE ESTRUTURA DE SUSTENTAÇÃO COM AFASTAMENTO E EMPILHAMENTO,m2,18.47,Região Norte,Planilha
ED-48461,DEMOLIÇÃO DE FORRO DE PERFIS INCLUSIVE ESTRUTURA DE SUSTENTAÇÃO COM AFASTAMENTO E EMPILHAMENTO,m2,31.67,Região Norte,Planilha
ED-48460,DEMOLIÇÃO DE FORRO DE PLACAS EXCLUSIVE BARROTEAMENTO COM AFASTAMENTO E EMPILHAMENTO,m2,10.26,Região Norte,Planilha
ED-48459,DEMOLIÇÃO DE FORRO DE PLACAS INCLUSIVE BARROTEAMENTO COM AFASTAMENTO E EMPILHAMENTO,m2,18.47,Região Norte,Planilha
ED-48464,DEMOLIÇÃO DE FORRO DE TABUAS DE PINHO INCLUSIVE AFASTAMENTO E EMPILHAMENTO,m2,18.47,Região Norte,Planilha
8710,DEMOLIÇÃO DE ESQUADRIA,,,Região Norte,Planilha
ED-48496,"REMOÇÃO DE ALIZAR, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",cj,3.01,Região Norte,Planilha
ED-48458,"REMOÇÃO DE FERRAGENS (DOBRADIÇAS, FECHADURAS, MAÇANETAS)",U,14.81,Região Norte,Planilha
ED-48494,"REMOÇÃO DE FOLHA DE PORTA OU JANELA, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",m2,8.2,Região Norte,Planilha
ED-48495,"REMOÇÃO DE MARCO, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",U,14.27,Região Norte,Planilha
ED-48493,"REMOÇÃO DE PORTA OU JANELA INCLUSIVE MARCO E ALIZAR, INCLUSIVE AFASTAMENTO E EMPILHAMENTO",m2,12.31,Região Norte,Planilha
ED-48497,"REMOÇÃO DE PORTA OU JANELA METÁLICA, INCLUSIVE AFASTAMENTO",m2,17.44,Região Norte,Planilha
8711,DEMOLIÇÃO DE IMPERMEABILIZAÇÃO,,,Região Norte,Planilha
ED-48465,REMOÇÃO DE IMPERMEABILIZAÇÃO E PROTEÇÃO MECÂNICA,m2,42.11,Região Norte,Planilha
8712,DEMOLIÇÃO DE LOUÇA E ACESSÓRIOS,,,Região Norte,Planilha
ED-48467,"REMOÇÃO DE LOUÇAS (LAVATÓRIO, BANHEIRA, PIA, VASO SANITÁRIO, TANQUE)",U,68.06,Região Norte,Planilha
ED-48470,"REMOÇÃO DE METAIS COMUNS (CONDUÍTE, SIFÃO, REGISTRO, TORNEIRAS)",U,15.79,Região Norte,Planilha
ED-48471,"REMOÇÃO DE METAIS ESPECIAIS (VÁLVULA DE DESCARGA, CAIXA SILENCIOSA)",U,16.57,Região Norte,Planilha
8713,DEMOLIÇÃO DE DIVISÓRIA E BANCADA,,,Região Norte,Planilha
ED-48452,"DEMOLIÇÃO DE DIVISÓRIA DE ELEMENTOS VAZADOS (COBOGÓ, ETC ), INCLUSIVE AFASTAMENTO",m2,16.42,Região Norte,Planilha
ED-48453,"DEMOLIÇÃO DE DIVISÓRIA DE LAMINADO, INCLUSIVE AFASTAMENTO",m2,20.53,Região Norte,Planilha
ED-8024,"DEMOLIÇÃO DE DIVISÓRIA DE MADEIRA, INCLUSIVE AFASTAMENTO",m2,20.53,Região Norte,Planilha
ED-48450,"DEMOLIÇÃO DE DIVISÓRIA DE PEDRAS (MÁRMORE, GRANITO, ARDÓSIA, MARMORITE), INCLUSIVE AFASTAMENTO",m2,47.47,Região Norte,Planilha
ED-48437,"REMOÇÃO DE BANCADA DE PEDRA (MÁRMORE, GRANITO, ARDÓSIA, MARMORITE, ETC.)",m2,47.47,Região Norte,Planilha
8714,DEMOLIÇÃO DE ALVENARIA,,,Região Norte,Planilha
ED-48436,"DEMOLIÇÃO DE ALVENARIA DE TIJOLO CERÂMICO SEM APROVEITAMENTO DO MATERIAL, INCLUSIVE AFASTAMENTO",m3,123.2,Região Norte,Planilha
ED-48435,"DEMOLIÇÃO DE ALVENARIA DE TIJOLO E BLOCO SEM APROVEITAMENTO DO MATERIAL, INCLUSIVE AFASTAMENTO",m3,112.93,Região Norte,Planilha
ED-48447,DEMOLIÇÃO DE CONSTRUÇÃO EM ALVENARIAS,m2,139.53,Região Norte,Planilha
8715,DEMOLIÇÃO DE CONCRETO,,,Região Norte,Planilha
ED-48443,"DEMOLIÇÃO DE CONCRETO ARMADO - COM EQUIPAMENTO ELÉTRICO, INCLUSIVE AFASTAMENTO",m3,69.43,Região Norte,Planilha
ED-48445,"DEMOLIÇÃO DE CONCRETO ARMADO - COM EQUIPAMENTO PNEUMÁTICO, INCLUSIVE AFASTAMENTO",m3,159.43,Região Norte,Planilha
ED-48441,"DEMOLIÇÃO DE CONCRETO ARMADO-MANUAL, INCLUSIVE AFASTAMENTO",m3,328.54,Região Norte,Planilha
ED-48442,"DEMOLIÇÃO DE CONCRETO SIMPLES - COM EQUIPAMENTO ELÉTRICO, INCLUSIVE AFASTAMENTO",m3,42.33,Região Norte,Planilha
ED-48444,"DEMOLIÇÃO DE CONCRETO SIMPLES - COM EQUIPAMENTO PNEUMÁTICO, INCLUSIVE AFASTAMENTO",m3,90.89,Região Norte,Planilha
ED-48440,"DEMOLIÇÃO DE CONCRETO SIMPLES-MANUAL, INCLUSIVE AFASTAMENTO",m3,266.94,Região Norte,Planilha
8716,DEMOLIÇÃO DE PADRÃO CONCESSIONÁRIA,,,Região Norte,Planilha
ED-48474,REMOÇÃO DE PADRÃO DA CEMIG,U,108.6,Região Norte,Planilha
ED-48475,REMOÇÃO DE PADRÃO DA COPASA,U,85.08,Região Norte,Planilha
8717,DEMOLIÇÃO DE PAVIMENTAÇÃO,,,Região Norte,Planilha
ED-48488,"DEMOLIÇÃO DE CALÇADA PORTUGUESA, INCLUSIVE AFASTAMENTO",m2,18.47,Região Norte,Planilha
ED-48489,"DEMOLIÇÃO DE PASSEIO OU LAJE DE CONCRETO COM EQUIPAMENTO, INCLUSIVE AFASTAMENTO",m2,15.44,Região Norte,Planilha
ED-48486,"DEMOLIÇÃO DE PASSEIO OU LAJE DE CONCRETO COM EQUIPAMENTO PNEUMÁTICO, INCLUSIVE AFASTAMENTO",m2,8.64,Região Norte,Planilha
ED-48487,"DEMOLIÇÃO DE PASSEIO OU LAJE DE CONCRETO MANUALMENTE, INCLUSIVE AFASTAMENTO",m2,28.73,Região Norte,Planilha
ED-48476,DEMOLIÇÃO DE PAVIMENTAÇÃO COM PRÉ-MOLDADO DE CONCRETO,m2,14.36,Região Norte,Planilha
ED-48491,DEMOLIÇÃO DE PAVIMENTO PARALELEPÍPEDO REJUNTADOS COM AREIA INCLUSIVE AFASTAMENTO E EMPILHAMENTO,m2,14.36,Região Norte,Planilha
ED-48492,"DEMOLIÇÃO DE REVESTIMENTO ASFÁLTICO COM EQUIPAMENTO PNEUMÁTICO, INCLUSIVE AFASTAMENTO",m2,9.33,Região Norte,Planilha
ED-48507,DEMOLIÇÃO DE SARJETA OU SARJETÃO DE CONCRETO,m2,16.42,Região Norte,Planilha
ED-48490,"DEMOLIÇÃO MANUAL DE ALVENARIA POLIÉDRICA, INCLUSIVE AFASTAMENTO",m2,14.36,Região Norte,Planilha
ED-48473,"REMOÇÃO DE MEIO-FIO DE PEDRA(GNAISSE, BASALTO, ETC.) INCLUSIVE CARGA",m,25.66,Região Norte,Planilha
ED-48472,REMOÇÃO DE MEIO-FIO PRÉ-MOLDADO DE CONCRETO INCLUSIVE CARGA,m,10.26,Região Norte,Planilha
8718,DEMOLIÇÃO DE REVESTIMENTO,,,Região Norte,Planilha
ED-48504,"DEMOLIÇÃO DE FÓRMICA, INCLUSIVE AFASTAMENTO",m2,12.31,Região Norte,Planilha
ED-48501,"DEMOLIÇÃO DE REBOCO, COM ESPESSURA DE ATÉ 55MM, INCLUSIVE AFASTAMENTO",m2,14.36,Região Norte,Planilha
ED-48502,"DEMOLIÇÃO DE REVESTIMENTO CERÂMICO, AZULEJO OU LADRILHO HIDRÁULICO INCLUSIVE AFASTAMENTO",m2,16.42,Região Norte,Planilha
ED-48503,"DEMOLIÇÃO DE REVESTIMENTO DE PEDRA (MÁRMORE, GRANITO, ARDÓSIA, SÃO TOMÉ, ETC.), INCLUSIVE AFASTAMENTO",m2,24.63,Região Norte,Planilha
ED-48478,RETIRADA DE PEITORIL DE MÁRMORE OU GRANITO,m,7.2,Região Norte,Planilha
8719,DEMOLIÇÃO DE PISO,,,Região Norte,Planilha
ED-48480,"DEMOLIÇÃO DE PISO CERÂMICO OU LADRILHO HIDRÁULICO, INCLUSIVE AFASTAMENTO",m2,14.57,Região Norte,Planilha
ED-48479,"DEMOLIÇÃO DE PISO CIMENTADO OU CONTRAPISO DE ARGAMASSA ESPESSURA MÁXIMA DE 10CM, INCLUSIVE AFASTAMENTO",m2,16.42,Região Norte,Planilha
ED-48483,"DEMOLIÇÃO DE PISO DE GRANILITE/MARMORITE, INCLUSIVE AFASTAMENTO",m2,21.69,Região Norte,Planilha
ED-48481,"DEMOLIÇÃO DE PISO DE PEDRAS (MÁRMORE, GRANITO, ARDÓSIA, LAGOA SANTA, SÃO TOMÉ), INCLUSIVE AFASTAMENTO",m2,24.63,Região Norte,Planilha
ED-48485,"DEMOLIÇÃO DE PISO DE TABUAS, INCLUSIVE AFASTAMENTO",m2,18.47,Região Norte,Planilha
ED-48484,"DEMOLIÇÃO DE PISO DE TACO DE MADEIRA, INCLUSIVE AFASTAMENTO",m2,20.53,Região Norte,Planilha
ED-48482,"DEMOLIÇÃO DE PISO VINÍLICO, INCLUSIVE AFASTAMENTO",m2,8.2,Região Norte,Planilha
ED-48505,"DEMOLIÇÃO DE RODAPÉ EM GERAL, INCLUSIVE ARGAMASSA DE ASSENTAMENTO",m,2.46,Região Norte,Planilha
ED-48508,RETIRADA DE SOLEIRA DE MÁRMORE OU GRANITO,m,7.74,Região Norte,Planilha
8720,REMOÇÃO DE CERCA E ALAMBRADO,,,Região Norte,Planilha
ED-48434,"REMOÇÃO DE ALAMBRADO METÁLICO, COM REAPROVEITAMENTO, INCLUSIVE AFASTAMENTO",m2,12.31,Região Norte,Planilha
ED-48439,REMOÇÃO DE CERCA,m2,16.42,Região Norte,Planilha
ED-48448,"REMOÇÃO DE CONCERTINA D = 450 MM, 610 MM OU 730 MM - COM POSSÍVEL REAPROVEITAMENTO",m,2.52,Região Norte,Planilha
ED-48449,"REMOÇÃO DE CONCERTINA D = 450 MM, 610 MM OU 730 MM - COM REAPROVEITAMENTO",m,2.52,Região Norte,Planilha
8721,REMOÇÃO DE VIDRO,,,Região Norte,Planilha
ED-48516,"RETIRADA DE VIDRO DE ESQUADRIAS, INCLUSIVE LIMPEZA DO ENCAIXE",m2,2.7,Região Norte,Planilha
8722,REMOÇÃO DE ITEM ESCOLAR,,,Região Norte,Planilha
ED-48498,"REMOÇÃO DE QUADRO NEGRO , INCLUSIVE AFASTAMENTO",m2,26.27,Região Norte,Planilha
8664,INSTALAÇÕES PROVISÓRIAS,,,Região Norte,Planilha
8723,PLACA DE OBRA,,,Região Norte,Planilha
ED-16660,"FORNECIMENTO E COLOCAÇÃO DE PLACA DE OBRA EM CHAPA GALVANIZADA #26, ESP. 0,45 MM, PLOTADA COM ADESIVO VINÍLICO, AFIXADA COM REBITES 4,8X40 MM, EM ESTRUTURA METÁLICA DE METALON 20X20 MM, ESP. 1,25 MM, INCLUSIVE SUPORTE EM EUCALIPTO AUTOCLAVADO PINTADO COM TINTA PVA DUAS (2) DEMÃOS",m2,211.11,Região Norte,Planilha
ED-50152,"FORNECIMENTO E COLOCAÇÃO DE PLACA DE OBRA EM CHAPA GALVANIZADA (3,00 X 1,5 0 M) - EM CHAPA GALVANIZADA 0,26 AFIXADAS COM REBITES 540 E PARAFUSOS 3/8, EM ESTRUTURA METÁLICA VIGA U 2"" ENRIJECIDA COM METALON 20 X 20, SUPORTE EM EUCALIPTO AUTOCLAVADO PINTADAS",U,1249.24,Região Norte,Planilha
ED-50153,"FORNECIMENTO E COLOCAÇÃO DE PLACA DE OBRA EM CHAPA GALVANIZADA (6,00 X 3,00 M) - EM CHAPA GALVANIZADA 0,26 AFIXADAS COM REBITES 540 E PARAFUSOS 3/8, EM ESTRUTURA METÁLICA VIGA U 2"" ENRIJECIDA COM METALON 20 X 20, SUPORTE EM EUCALIPTO AUTOCLAVADO PINTADAS",U,2923.36,Região Norte,Planilha
ED-50154,"FORNECIMENTO E COLOCAÇÃO DE PLACAS DE OBRAS EM CHAPA GALVANIZADA (4,00 X 2,00 M ) SÃO CONFECCIONADAS EM CHAPA GALVANIZADA 26. AS CHAPAS SERÃO AFIXADAS COM REBITES 410 E PARAFUSOS 3/8, EM UMA ESTRUTURA METÁLICA COM VIGA U 2"" ENRIJECIDA E METALON 20MMX20MM,334",U,1792.75,Região Norte,Planilha
8724,INSTALAÇÃO PROVISÓRIA ÁGUA E ENERGIA,,,Região Norte,Planilha
ED-50150,"LIGAÇÃO DE ÁGUA PROVISÓRIA PARA CANTEIRO,  INCLUSIVE HIDRÔMETRO E CAVALETE PARA MEDIÇÃO DE ÁGUA - ENTRADA PRINCIPAL, EM AÇO GALVANIZADO DN 20MM (1/2"") - PADRÃO CONCESSIONÁRIA",un,372.22,Região Norte,Planilha
ED-50151,LIGAÇÃO PROVISÓRIA DE LUZ E FORÇA-PADRÃO PROVISÓRIO 30KVA,U,666.88,Região Norte,Planilha
8725,ESCRITÓRIO DE OBRA,,,Região Norte,Planilha
ED-50125,ÁREA COBERTA EM TELHA FIBROCIMENTO PARA BANCAS - PADRÃO DER-MG,m2,119.58,Região Norte,Planilha
ED-50135,"BARRACÃO DE OBRA, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE  INSTALAÇÕES SANITÁRIAS E MOBILIÁRIO - PADRÃO DER-MG",m2,546.67,Região Norte,Planilha
ED-50128,"BARRACÃO DE OBRA PARA DEPÓSITO E FERRAMENTARIA TIPO-I, ÁREA INTERNA 14,52M2, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE MOBILIÁRIO (OBRA DE PEQUENO PORTE, EFETIVO ATÉ 30 HOMENS), PADRÃO DER-MG",un,7391.21,Região Norte,Planilha
ED-50129,"BARRACÃO DE OBRA PARA DEPÓSITO E FERRAMENTARIA TIPO-II, ÁREA INTERNA 25,41M2, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE MOBILIÁRIO (OBRA DE MÉDIO PORTE, EFETIVO DE 30 A 60 HOMENS), PADRÃO DER-MG",un,12211.43,Região Norte,Planilha
ED-50148,"BARRACÃO DE OBRA PARA ESCRITÓRIO DA EMPREITEIRA TIPO-I, ÁREA INTERNA 18,15M2, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE MOBILIÁRIO (OBRA DE PEQUENO A MÉDIO PORTE, EFETIVO ATÉ 60 HOMENS) - PADRÃO DER-MG",un,9658.72,Região Norte,Planilha
ED-50149,"BARRACÃO DE OBRA PARA ESCRITÓRIO DA EMPREITEIRA TIPO-II, ÁREA INTERNA 21,78M2, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE MOBILIÁRIO (OBRA DE GRANDE PORTE, EFETIVO ACIMA 60 HOMENS) - PADRÃO DER-MG",un,11199.53,Região Norte,Planilha
ED-50146,"BARRACÃO DE OBRA PARA ESCRITÓRIO DA FISCALIZAÇÃO TIPO-I, ÁREA INTERNA 18,15M2, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE MOBILIÁRIO (OBRA DE PEQUENO A MÉDIO PORTE, EFETIVO ATÉ 60 HOMENS) - PADRÃO DER-MG",un,9602.59,Região Norte,Planilha
ED-50147,"BARRACÃO DE OBRA PARA ESCRITÓRIO DA FISCALIZAÇÃO TIPO-II, ÁREA INTERNA 21,78M2, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE MOBILIÁRIO (OBRA DE GRANDE PORTE, EFETIVO ACIMA 60 HOMENS) - PADRÃO DER-MG",un,11143.4,Região Norte,Planilha
ED-50130,"BARRACÃO DE OBRA PARA INSTALAÇÃO SANITÁRIA TIPO-I, ÁREA INTERNA 14,52M2, EM CHAPA DE COMPENSADO RESINADO (OBRA DE PEQUENO PORTE, EFETIVO ATÉ 30 HOMENS), PADRÃO DER-MG",un,8282.83,Região Norte,Planilha
ED-50131,"BARRACÃO DE OBRA PARA INSTALAÇÃO SANITÁRIA TIPO-II, ÁREA INTERNA 18,15M2, EM CHAPA DE COMPENSADO RESINADO (OBRA DE MÉDIO PORTE, EFETIVO DE 30 A 60 HOMENS), PADRÃO DER-MG",un,10585.04,Região Norte,Planilha
ED-50132,"BARRACÃO DE OBRA PARA INSTALAÇÃO SANITÁRIA TIPO-III, ÁREA INTERNA 25,41M2, EM CHAPA DE COMPENSADO RESINADO (OBRA DE GRANDE PORTE, EFETIVO ACIMA DE 60 HOMENS), PADRÃO DER-MG",un,14893.23,Região Norte,Planilha
ED-50133,"BARRACÃO DE OBRA PARA REFEITÓRIO TIPO-I, ÁREA INTERNA 18,15M2, EM CHAPA DE COMPENSADO RESINADO (OBRA DE MÉDIO PORTE, EFETIVO DE 30 A 60 HOMENS), PADRÃO DER-MG",un,9322.91,Região Norte,Planilha
ED-50134,"BARRACÃO DE OBRA PARA REFEITÓRIO TIPO-II, ÁREA INTERNA 25,41M2, EM CHAPA DE COMPENSADO RESINADO (OBRA DE GRANDE PORTE, EFETIVO ACIMA DE 60 HOMENS), PADRÃO DER-MG",un,12609.85,Região Norte,Planilha
ED-50126,"BARRACÃO DE OBRA PARA VESTIÁRIO TIPO-I, ÁREA INTERNA 25,41M2, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE MOBILIÁRIO (OBRA DE PEQUENO PORTE, EFETIVO ATÉ 30 HOMENS), PADRÃO DER-MG",un,12813.27,Região Norte,Planilha
ED-50127,"BARRACÃO DE OBRA PARA VESTIÁRIO TIPO-II, ÁREA INTERNA 67,76M2, EM CHAPA DE COMPENSADO RESINADO, INCLUSIVE MOBILIÁRIO (OBRA DE MÉDIO PORTE, EFETIVO DE 30 A 60 HOMENS), PADRÃO DER-MG",un,24522.78,Região Norte,Planilha
ED-16344,"INSTALAÇÃO PROVISÓRIA DE CHUVEIRO ELÉTRICO, TENSÃO 127V/220V, EM CONTAINER (VESTIÁRIO DE OBRA)",un,114.39,Região Norte,Planilha
ED-16341,LIGAÇÃO PROVISÓRIA DE ÁGUA E ESGOTO PARA CONTAINER (ESCRITÓRIO DE OBRA),un,290.83,Região Norte,Planilha
ED-16343,"LIGAÇÃO PROVISÓRIA DE ÁGUA E ESGOTO PARA CONTAINER (VESTIÁRIO DE OBRA), EXCLUSIVE CHUVEIRO ELÉTRICO",un,340.11,Região Norte,Planilha
ED-16342,LIGAÇÃO PROVISÓRIA DE ENERGIA ELÉTRICA PARA CONTAINER,un,321.32,Região Norte,Planilha
ED-16356,LIGAÇÕES PROVISÓRIAS PARA CONTAINER TIPO 1 (CORRESPONDENTE AO CÓDIGO ED-16348),un,321.32,Região Norte,Planilha
ED-16357,LIGAÇÕES PROVISÓRIAS PARA CONTAINER TIPO 2 (CORRESPONDENTE AO CÓDIGO ED-16349),un,612.15,Região Norte,Planilha
ED-16358,LIGAÇÕES PROVISÓRIAS PARA CONTAINER TIPO 3 (CORRESPONDENTE AO CÓDIGO ED-16350),un,321.32,Região Norte,Planilha
ED-16359,LIGAÇÕES PROVISÓRIAS PARA CONTAINER TIPO 4 (CORRESPONDENTE AO CÓDIGO ED-16351),un,321.32,Região Norte,Planilha
ED-16360,LIGAÇÕES PROVISÓRIAS PARA CONTAINER TIPO 5 (CORRESPONDENTE AO CÓDIGO ED-16352),un,1462.16,Região Norte,Planilha
ED-16361,LIGAÇÕES PROVISÓRIAS PARA CONTAINER TIPO 6 (CORRESPONDENTE AO CÓDIGO ED-16353),un,661.43,Região Norte,Planilha
ED-16362,LIGAÇÕES PROVISÓRIAS PARA CONTAINER TIPO 7 (CORRESPONDENTE AO CÓDIGO ED-16354),un,1118.99,Região Norte,Planilha
ED-16363,LIGAÇÕES PROVISÓRIAS PARA CONTAINER TIPO 8 (CORRESPONDENTE AO CÓDIGO ED-16355),un,321.32,Região Norte,Planilha
